timestamp,pos_x,pos_y,pos_z,roll,pitch,yaw,imu_pos_x,imu_pos_y,imu_pos_z,vel_x,vel_y,vel_z,uncertainty_x,uncertainty_y,uncertainty_z
16.926839,-20.259243,-112.273476,-62.704637,-0.000673,0.063922,-0.030778,-119.194038,-311.703554,-102.857033,-1972.418747,-3988.604080,-803.111111,0.088362,0.088362,0.088362
16.976839,-19.950738,-112.273672,-62.708479,0.001682,0.045502,-0.029794,-118.893163,-311.703738,-102.863426,-1972.678403,-3988.605227,-803.175795,0.088362,0.088362,0.088362
17.026839,-19.646774,-112.273778,-62.712576,0.004869,0.010248,-0.028766,-118.597636,-311.703854,-102.870205,-1972.937952,-3988.603637,-803.234516,0.088362,0.088362,0.088362
17.076839,-19.345019,-112.273868,-62.716523,0.004111,-0.020959,-0.028050,-118.304785,-311.703932,-102.876702,-1973.160217,-3988.603080,-803.282507,0.088362,0.088362,0.088362
17.126839,-19.042568,-112.273964,-62.719909,-0.001161,-0.051159,-0.027541,-118.011554,-311.704032,-102.882229,-1973.330708,-3988.603275,-803.314119,0.088362,0.088362,0.088362
17.176839,-18.737411,-112.274094,-62.722538,-0.001048,-0.064059,-0.024924,-117.715712,-311.704185,-102.886482,-1973.462866,-3988.604420,-803.331467,0.088362,0.088362,0.088362
17.226839,-18.427548,-112.274187,-62.724258,-0.002169,-0.067106,-0.022952,-117.415334,-311.704260,-102.889217,-1973.558467,-3988.603324,-803.333580,0.088362,0.088362,0.088362
17.276839,-18.111618,-112.274259,-62.725140,-0.002762,-0.050254,-0.021823,-117.108710,-311.704311,-102.890563,-1973.623240,-3988.602478,-803.326086,0.088362,0.088362,0.088362
17.326839,-17.789616,-112.274358,-62.725448,-0.003343,-0.021070,-0.021043,-116.795495,-311.704403,-102.890980,-1973.677534,-3988.602884,-803.316808,0.088362,0.088362,0.088362
17.376839,-17.464887,-112.274456,-62.725850,-0.001543,0.022732,-0.020442,-116.478822,-311.704497,-102.891610,-1973.784123,-3988.602786,-803.323250,0.088362,0.088362,0.088362
17.426839,-17.141699,-112.274588,-62.727019,0.002575,0.055268,-0.018225,-116.163204,-311.704654,-102.893562,-1973.966352,-3988.603947,-803.354246,0.088362,0.088362,0.088362
17.476839,-16.822632,-112.274656,-62.729207,-0.001342,0.073388,-0.016573,-115.851511,-311.704708,-102.897233,-1974.196225,-3988.602399,-803.404298,0.088362,0.088362,0.088362
17.526839,-16.508485,-112.274759,-62.732254,-0.001628,0.066427,-0.015571,-115.544986,-311.704798,-102.902322,-1974.447080,-3988.602830,-803.462300,0.088362,0.088362,0.088362
